Transition,λ,OscillatorStrength,DampingCoefficient
MnII_1197,1197.18396,0.217,7.84e8
SiIIstar_1197,1197.393799,0.145,4.070000128e9
MnII_1199,1199.390991,0.169,7.85e8
NI_1199,1199.549561,0.13,4.07e8
NI_1200b,1200.223267,0.0862,4.02e8
NI_1200a,1200.709839,0.0432,4.0e8
MnII_1201,1201.118042,0.121,7.85e8
SiIII_1206,1206.5,1.63,2.48e9
FeIII_1214,1214.562012,0.000239,1.39e6
DI_1215,1215.339355,0.4165,6.27e8
Ly_a,1215.670044,0.4164,6.26499968e8
NV_1238,1238.821045,0.157,3.391e8
MgII_1239,1239.925293,0.000632,1.37e6
MgII_1240,1240.394653,0.000356,1.54e6
NV_1242,1242.803955,0.07823,3.356e8
SII_1250,1250.578003,0.00543,4.63e7
SII_1253,1253.805054,0.0109,4.62e7
SiI_1255,1255.271973,0.2201,3.106e8
SII_1259,1259.517944,0.0166,4.65e7
SiII_1260,1260.422119,1.18,2.950000128e9
FeII_1260,1260.532959,0.024,1.26e8
CI_1260,1260.735107,0.0507,2.4e8
CIstar_1260a,1260.926147,0.0175,2.41e8
CIstar_1260b,1260.996094,0.0134,2.4e8
CIstar_1261,1261.122437,0.0202,2.36e8
CIstarstar_1261a,1261.425537,0.0131,2.4e8
CIstarstar_1261b,1261.55188,0.0391,2.36e8
SiIIstar_1264,1264.737671,1.05,2.929999872e9
SiIIstar_1265,1265.001953,0.117,2.950000128e9
CI_1276,1276.482178,0.00589,8.03e6
CIstar_1276,1276.749756,0.00308,1.26e7
CIstarstar_1277a,1277.189941,0.000322,2.2e6
CI_1277,1277.245239,0.0853,2.32e8
CIstar_1277a,1277.282715,0.0666,2.46e8
CIstar_1277b,1277.513062,0.021,2.32e8
CIstarstar_1277b,1277.550049,0.0763,2.44e8
CIstarstar_1277c,1277.723267,0.0153,2.46e8
CIstar_1279,1279.890747,0.0143,1.17e8
CI_1280,1280.135254,0.0263,1.06e8
CIstarstar_1280a,1280.33313,0.0152,1.17e8
CIstar_1280a,1280.404297,0.0044,1.06e8
CIstar_1280b,1280.597534,0.00704,1.05e8
CIstarstar_1280b,1280.847046,0.00522,1.06e8
SI_1295,1295.653076,0.087,3.46e8
TiIII_1295,1295.884033,0.0418,1.66e8
TiIII_1298,1298.697021,0.0964,6.35e8
PII_1301,1301.874023,0.0173,4.82e7
OI_1302,1302.168457,0.048,5.65e8
SiII_1304,1304.370239,0.0863,1.01e9
OIstar_1304,1304.857544,0.0478,5.65e8
OIstarstar_1306,1306.028564,0.0478,5.65e8
SiIIstar_1309,1309.275757,0.086,1.01e9
NiII_1317,1317.217041,0.086,4.205e8
CI_1328,1328.833252,0.0758,2.88e8
CIstar_1329a,1329.084961,0.0254,2.89e8
CIstar_1329b,1329.100342,0.0313,2.87e8
CIstar_1329c,1329.123291,0.0191,2.88e8
CIstarstar_1329a,1329.577515,0.0569,2.87e8
CIstarstar_1329b,1329.600342,0.0189,2.88e8
CII_1334,1334.532349,0.1278,2.88e8
PIII_1334,1334.813232,0.0282,6.32e7
CIIstar_1335b,1335.66272,0.01277,2.88e8
CIIstar_1335a,1335.707642,0.115,2.88e8
ClI_1347,1347.239624,0.153,6.62e8
OI_1335,1355.597656,1.0e-6,5560.0
CuII_1358,1358.772949,0.263,7.2e8
BII_1362,1362.463013,0.996,1.19e9
CuII_1367,1367.950928,0.179,6.23e8
NiII_1370,1370.130981,0.0769,4.1e8
NiII_1393,1393.323975,0.0101,3.47e7
SiIV_1393,1393.760132,0.513,8.8e8
SiIV_1402,1402.772949,0.254,8.62e8
GaII_1414,1414.401978,1.77,1.97e9
CoII_1424,1424.786621,0.0109,3.58e7
NiII_1454,1454.842041,0.0323,1.02e8
CoII_1446,1466.212036,0.031,3.78e7
NiII_1467b,1467.259033,0.0063,2.93e7
NiII_1467a,1467.755981,0.0099,2.3e7
SI_1473,1473.994263,0.0828,1.82e8
CoII_1480,1480.95459,0.0119,4.65e7
NiII_1502,1502.147949,0.0133,3.932e7
SiII_1526,1526.707031,0.133,1.13e9
PII_1532,1532.532959,0.00761,4.77e6
SiIIstar_1533,1533.431641,0.132,1.13e9
CIV_1548,1548.204102,0.1899,2.642e8
CIV_1550,1550.78125,0.09475,2.628e8
CoII_1552,1552.762451,0.0116,3.21e7
CI_1560,1560.309204,0.0774,1.27e8
CIstar_1560a,1560.682007,0.0581,1.27e8
CIstar_1560b,1560.708862,0.0193,1.27e8
CIstarstar_1561a,1561.339844,0.0116,1.27e8
CIstarstar_1561b,1561.366821,0.000772,1.27e8
CIstarstar_1561c,1561.437744,0.0649,1.27e8
SiI_1562,1562.001953,0.3758,3.425e8
CoII_1572,1572.648926,0.012,4.16e7
CoII_1574,1574.550293,0.025,6.73e7
FeII_1588,1588.687622,0.000148,489000.0
ZnI_1589,1589.561035,0.1219,1.073e8
GeII_1602,1602.486328,0.1345,9.906e8
FeII_1608,1608.450806,0.0577,2.74e8
FeII_1611,1611.200317,0.00138,2.86e8
FeII_1618star,1618.468018,0.03491,8.889e7
FeII_1621star,1621.685547,0.0608,2.056e8
SiI_1625,1625.705078,0.06823,5.74e7
FeII_1629star2,1629.160034,0.0367,2.056e8
SiI_1631,1631.170044,0.2051,1.714e8
FeII_1634star3,1634.349976,0.0205,2.056e8
FeII_1636star3,1636.331055,0.0405,2.056e8
FeII_1639star4,1639.401001,0.0579,2.056e8
HeII_1640,1640.430054,0.0,0.0
CIstar_1656,1656.267212,0.0621,3.61e8
CI_1656,1656.928345,0.149,3.6e8
CIstarstar_1657,1657.008057,0.111,3.61e8
CIstar_1657a,1657.37915,0.0371,3.6e8
CIstar_1657b,1657.907104,0.0494,3.6e8
CIstarstar_1658,1658.121094,0.0371,3.61e8
AlII_1670,1670.788574,1.74,1.39e9
SiI_1693,1693.293945,0.156,1.21e8
NiII_1703,1703.405029,0.006,5.0
MgI_1707,1707.060547,0.00437,3.33e6
NiII_1709,1709.604248,0.0324,4.35e8
NiII_1741,1741.553101,0.0427,5.0e8
MgI_1747,1747.793701,0.00908,6.61e6
NiII_1751,1751.915649,0.0277,3.7e8
PI_1774,1774.94873,0.169,2.38e8
PI_1782,1782.829102,0.113,2.38e8
SI_1807,1807.311279,0.0905,5.33e8
SiII_1808,1808.012939,0.00208,2.38e6
MgI_1827,1827.935059,0.0242,1.61e7
SiI_1845,1845.520508,0.27,1.76e8
FeI_1851,1851.687988,0.02222,5.558e7
AlIII_1854,1854.718262,0.559,5.42e8
AlIII_1862,1862.791138,0.278,5.34e8
FeII_1901,1901.772949,7.0e-5,161000.0
TiII_1910b,1910.612305,0.104,4.17e8
TiII_1910a,1910.953857,0.098,1.43e8
CoII_1941,1941.285156,0.034,4.35e8
CoII_2012,2012.166382,0.03679,3.45e8
ZnII_2026,2026.137085,0.501,4.07e8
CoII_2026,2026.412231,0.0125,3.03e8
MgI_2026,2026.476807,0.113,6.12e7
CrII_2056,2056.256836,0.103,4.07e8
CoII_2059,2059.475586,0.00751,2.78e8
CrII_2062,2062.236084,0.0759,4.06e8
ZnII_2062,2062.6604,0.246,3.86e8
CrII_2066,2066.164062,0.0512,4.17e8
ZnI_2139,2139.247314,1.459,7.09e8
FeI_2167,2167.453369,0.15,2.74e8
FeII_2234,2234.447266,2.5e-5,2.75e8
FeII_2249,2249.876709,0.001821,3.31e8
FeII_2260,2260.780518,0.00244,2.58e8
