Transition,Ion,λ,OscillatorStrength,DampingCoefficient,Mass
VII_1916,VII,1916.3997,0.00014,2.884e8,49.947
FeI_1924,FeI,1924.2203,0.000116,1.259e8,55.847
CoI_1926,CoI,1926.9075,0.000147,4.266e7,58.933
CoI_1930,CoI,1930.3785,0.000194,3.715e7,58.933
FeI_1934,FeI,1934.535,0.0111,1.122e8,55.847
FeI_1937,FeI,1937.2683,0.00946,5.37e7,55.847
CrI_1940,CrI,1940.4514,0.00409,1.148e7,49.946
CrI_1940.6,CrI,1940.5606,0.00315,1.148e7,49.946
CrI_1940.64,CrI,1940.6397,0.00223,1.148e7,49.946
CoII_1941,CoII,1941.2852,0.0388,5.495e8,58.933
FeI_1946,FeI,1946.2274,0.00117,4.467e7,55.847
FeI_1946.8,FeI,1946.8392,0.0019,5.129e7,55.847
FeI_1947.0,FeI,1946.9878,0.00772,5.248e7,55.847
MnI_1949,MnI,1949.1122,0.000155,1.622e7,54.938
NiI_1956,NiI,1956.0032,0.000974,1.95e8,57.935
FeI_1957,FeI,1957.8426,0.00741,4.266e7,55.847
FeI_1960,FeI,1960.144,0.0161,4.677e7,55.847
CoI_1961,CoI,1961.5629,0.00308,4.786e7,58.933
CoI_1963,CoI,1963.3779,0.000509,4.467e7,58.933
NiI_1968,NiI,1968.9185,0.0026,1.905e8,57.935
CoI_1970,CoI,1970.7689,0.00366,7.079e7,58.933
FeI_1975,FeI,1975.1771,0.000142,1.778e7,55.847
SiI_1977,SiI,1977.5979,0.0491,8.913e7,28.085
VII_1981,VII,1981.2267,0.000228,2.291e8,49.947
CoII_1984,CoII,1984.8468,0.000239,4.266e8,58.933
CrI_1992,CrI,1992.1509,0.00176,5.37e6,49.946
CrI_1992.6,CrI,1992.6273,0.00138,3.89e6,49.946
NiI_1994,NiI,1994.2967,0.00267,3.89e7,57.935
MnI_1996,MnI,1996.039,0.0183,1.995e8,54.938
FeI_1997,FeI,1997.9144,0.000255,1.66e7,55.847
CoII_1998,CoII,1998.5473,0.000344,3.548e8,58.933
MnI_1999,MnI,1999.4956,0.0272,1.995e8,54.938
MnI_2004,MnI,2004.4828,0.036,1.995e8,54.938
FeI_2007,FeI,2007.8202,0.000129,1.479e7,55.847
VI_2011,VI,2011.1531,0.0119,2.291e8,49.947
CrII_2011,CrII,2011.8162,0.000506,2.291e8,49.946
CoII_2012,CoII,2012.1611,0.0368,4.074e8,58.933
VI_2012,VI,2012.5235,0.0012,3.02e8,49.947
CrII_2014,CrII,2014.2703,0.000127,2.455e8,49.946
CrII_2017,CrII,2017.569,0.000115,2.344e8,49.946
CuI_2024,CuI,2024.9776,0.00885,4.074e7,62.93
CuI_2025.0,CuI,2024.9904,0.00988,4.786e7,62.93
CrII_2026,CrII,2026.2685,0.0013,2.138e8,49.946
CoII_2026,CoII,2026.4066,0.0125,3.89e8,58.933
NiI_2027,NiI,2027.2404,0.0185,1.318e8,57.935
CoI_2032,CoI,2032.6172,0.000957,2.042e7,58.933
FeI_2035,FeI,2035.2082,0.000422,3.548e7,55.847
TiI_2035,TiI,2035.5615,0.000114,1.82e7,45.953
TiI_2036,TiI,2036.6827,0.00152,1.023e8,45.953
TiI_2037,TiI,2037.4769,0.00646,1.096e8,45.953
YI_2039,YI,2039.0536,0.002,8.913e6,88.906
CrII_2040,CrII,2040.5694,0.00147,2.089e8,49.946
CaI_2051,CaI,2051.0112,0.000331,5.943e7,39.963
YI_2051,YI,2051.6213,0.00544,3.162e7,88.906
NiI_2052,NiI,2052.7311,0.00635,2.291e7,57.935
NiI_2054,NiI,2054.5673,0.000368,2.512e7,57.935
CaI_2054,CaI,2054.6608,0.000457,5.675e6,39.963
TiI_2056,TiI,2056.359,0.0184,6.026e7,45.953
CaI_2059,CaI,2059.2617,0.000562,4.416e6,39.963
CoII_2059,CoII,2059.4707,0.00751,3.236e8,58.933
TiI_2060,TiI,2060.0585,0.00385,4.169e7,45.953
CrII_2062,CrII,2062.2343,0.078,4.266e8,49.946
TiI_2063,TiI,2063.5329,0.0101,3.89e7,45.953
CaI_2065,CaI,2065.1728,0.000776,4.477e6,39.963
TiI_2065,TiI,2065.7715,0.000658,2.57e7,45.953
TiI_2065.8,TiI,2065.7869,0.000107,3.236e7,45.953
CrII_2066,CrII,2066.161,0.0515,4.266e8,49.946
BIII_2066,BIII,2066.436,0.238,1.862e8,10.813
YI_2067,YI,2067.941,0.00922,1.738e7,88.906
CoI_2069,CoI,2069.6622,0.00208,1.288e8,58.933
CaI_2072,CaI,2072.9453,0.00115,5.458e6,39.963
TiI_2073,TiI,2073.1339,0.002,4.677e7,45.953
CoI_2073,CoI,2073.9461,0.00925,1.288e8,58.933
FeI_2078,FeI,2078.0115,0.00162,1.175e8,55.847
CaI_2083,CaI,2083.4423,0.00178,9.016e6,39.963
FeI_2084,FeI,2084.7846,0.0189,3.981e8,55.847
FeI_2086,FeI,2086.3761,0.000492,8.128e7,55.847
BI_2089,BI,2089.5585,0.0497,4.571e7,10.813
CoI_2090,CoI,2090.3454,0.000262,1.259e8,58.933
FeI_2090,FeI,2090.5392,0.000165,2.291e7,55.847
YI_2091,YI,2091.3244,0.00156,1.122e7,88.906
FeI_2091,FeI,2091.52,0.000161,3.311e7,55.847
CoII_2091,CoII,2091.7224,0.000318,3.802e8,58.933
MnI_2092,MnI,2092.8231,0.00895,5.754e6,54.938
MnI_2093,MnI,2093.1663,0.000437,1.148e7,54.938
MnI_2094,MnI,2094.0686,0.000418,6.31e6,54.938
CrI_2095,CrI,2095.615,0.000988,6.761e6,49.946
CrI_2096,CrI,2096.0674,0.000733,6.761e6,49.946
CrI_2096.6,CrI,2096.55,0.000531,6.607e6,49.946
CaI_2098,CaI,2098.1031,0.00302,1.18e7,39.963
MnI_2098,MnI,2098.2201,0.000648,8.511e6,54.938
FeI_2100,FeI,2100.5705,0.000483,5.248e7,55.847
FeI_2101,FeI,2101.2797,0.000118,3.802e7,55.847
FeI_2108,FeI,2108.8047,0.000974,7.079e7,55.847
CoI_2109,CoI,2109.8988,0.000773,1.23e8,58.933
MnI_2110,MnI,2110.2585,0.00565,9.333e6,54.938
CoII_2112,CoII,2112.1139,0.00328,3.802e8,58.933
ScI_2113,ScI,2113.5157,0.00225,4.898e7,44.956
TiI_2114,TiI,2114.9747,0.000946,9.55e7,45.953
ScI_2117,ScI,2117.3189,0.017,5.012e7,44.956
TiI_2119,TiI,2119.2048,0.00798,8.71e7,45.953
CaI_2119,CaI,2119.3463,0.00562,8.71e6,39.963
VII_2122,VII,2122.7821,0.000995,1.738e8,49.947
NiI_2126,NiI,2126.2978,0.00189,3.467e7,57.935
FeI_2127,FeI,2127.2807,0.000122,3.548e7,55.847
FeI_2132,FeI,2132.6899,0.0052,6.31e7,55.847
YI_2132,YI,2132.9871,0.00391,1.738e7,88.906
CoI_2133,CoI,2133.4399,0.00029,9.333e7,58.933
VII_2138,VII,2138.8301,0.0513,3.715e8,49.947
FeI_2139,FeI,2139.2666,0.0015,1.148e8,55.847
FeI_2140,FeI,2140.3724,0.0135,1.698e8,55.847
VII_2141,VII,2141.767,0.00782,1.82e8,49.947
CaI_2151,CaI,2151.4718,0.0126,4.932e7,39.963
CuI_2165,CuI,2165.7753,0.142,1.072e8,62.93
FeI_2167,FeI,2167.4532,0.15,3.388e8,55.847
VI_2171,VI,2171.4244,0.02,1.0e8,49.947
CoI_2175,CoI,2175.2805,0.0494,2.344e8,58.933
MnI_2176,MnI,2176.7043,0.000126,7.413e7,54.938
ScI_2178,ScI,2178.7152,0.000891,6.457e6,44.956
CuI_2179,CuI,2179.6317,0.0802,6.166e7,62.93
VI_2181,VI,2181.5913,0.000631,1.148e8,49.947
CuI_2182,CuI,2182.4054,0.0908,1.288e8,62.93
CoI_2184,CoI,2184.9997,0.000274,1.514e7,58.933
VI_2185,VI,2185.2068,0.00289,1.148e8,49.947
MnI_2185,MnI,2185.5865,0.000716,7.586e7,54.938
FeI_2186,FeI,2186.9334,0.000632,6.166e7,55.847
VI_2188,VI,2188.0713,0.00979,1.122e8,49.947
VI_2188.7,VI,2188.7432,0.000875,1.072e8,49.947
VI_2190,VI,2190.6299,0.0142,1.096e8,49.947
CaI_2201,CaI,2201.4141,0.0331,2.6e7,39.963
CoII_2203,CoII,2203.6746,0.00031,3.467e8,58.933
FeI_2207,FeI,2207.7567,0.000101,2.188e7,55.847
NiI_2208,NiI,2208.4275,0.00136,7.244e8,57.935
SiI_2208,SiI,2208.6665,0.0575,6.918e7,28.085
MnI_2209,MnI,2209.4967,0.00634,1.862e8,54.938
FeI_2211,FeI,2211.3776,0.000114,6.026e7,55.847
TiI_2212,TiI,2212.0718,0.000174,6.166e7,45.953
MnI_2214,MnI,2214.5398,0.00438,1.905e8,54.938
VI_2216,VI,2216.939,0.0338,8.913e7,49.947
TiI_2219,TiI,2219.0692,0.00417,6.31e7,45.953
TiI_2222,TiI,2222.1394,0.016,5.37e7,45.953
MnI_2222,MnI,2222.5225,0.0191,1.95e8,54.938
TiI_2223,TiI,2223.8768,0.0159,6.761e7,45.953
CuI_2226,CuI,2226.3975,0.0312,4.365e7,62.93
TiI_2230,TiI,2230.4181,0.0114,4.467e7,45.953
FeII_2234,FeII,2234.4472,1.29e-5,2.67e8,55.847
VI_2241,VI,2241.3022,0.000132,2.138e8,49.947
YII_2243,YII,2243.7301,1.26,1.072e9,88.906
NiI_2243,NiI,2243.9115,0.000799,7.244e8,57.935
VI_2244,VI,2244.4382,0.00224,2.188e8,49.947
CuI_2244,CuI,2244.9636,0.00288,2.692e6,62.93
NiI_2245,NiI,2245.1464,0.0414,1.995e8,57.935
VI_2246,VI,2246.4565,0.00624,2.188e8,49.947
FeII_2249,FeII,2249.8754,0.00182,3.631e8,55.847
FeI_2251,FeI,2251.4879,0.000935,4.898e7,55.847
CoI_2252,CoI,2252.5384,0.000296,8.913e7,58.933
TiI_2252,TiI,2252.7943,0.000161,2.754e7,45.953
TiI_2255,TiI,2255.7328,0.000492,2.57e7,45.953
NiI_2256,NiI,2256.5772,0.00137,6.026e8,57.935
TiI_2258,TiI,2258.1403,0.00114,2.818e7,45.953
FeI_2260,FeI,2260.2096,0.00529,4.898e7,55.847
TiI_2260,TiI,2260.7239,0.0117,7.586e7,45.953
FeII_2260,FeII,2260.7791,0.00244,2.884e8,55.847
TiI_2261,TiI,2261.2963,0.00136,3.311e7,45.953
NiI_2262,NiI,2262.1313,0.00544,7.943e7,57.935
ScI_2262,ScI,2262.9918,0.00445,1.259e8,44.956
CoI_2263,CoI,2263.3053,0.00128,5.888e7,58.933
TiI_2263,TiI,2263.3192,0.0031,2.818e7,45.953
FeI_2264,FeI,2264.1746,0.000269,3.467e7,55.847
TiI_2264,TiI,2264.7187,0.00743,1.096e8,45.953
ScI_2267,ScI,2267.2935,0.0185,1.23e8,44.956
TiI_2268,TiI,2268.6149,0.00502,1.202e8,45.953
VI_2270,VI,2270.4883,0.000108,1.072e8,49.947
VI_2272,VI,2272.7397,0.000366,1.072e8,49.947
TiI_2273,TiI,2273.9822,0.0297,1.259e8,45.953
CoI_2275,CoI,2275.2141,0.00946,4.365e7,58.933
CaI_2276,CaI,2276.1686,0.0855,7.244e7,39.963
FeI_2276,FeI,2276.7287,0.00755,1.549e8,55.847
CoI_2280,CoI,2280.6114,0.000203,2.512e8,58.933
ScI_2281,ScI,2281.5361,0.034,1.259e8,44.956
TiI_2282,TiI,2282.3677,0.000379,1.148e7,45.953
TiI_2287,TiI,2287.8238,0.000181,3.311e8,45.953
VI_2287,VI,2287.8871,0.000202,2.692e7,49.947
VI_2289,VI,2289.6745,0.000144,4.677e7,49.947
NiI_2290,NiI,2290.6935,0.128,3.236e8,57.935
VI_2291,VI,2291.0683,0.000243,3.311e7,49.947
TiI_2294,TiI,2294.454,0.00368,5.623e7,45.953
CoI_2295,CoI,2295.9397,0.0138,1.514e8,58.933
FeI_2298,FeI,2298.8767,0.0245,2.042e8,55.847
MnII_2299,MnII,2299.6626,0.000484,2.818e8,54.938
TiI_2300,TiI,2300.5674,0.0551,5.623e7,45.953
CoI_2304,CoI,2304.2241,0.00262,6.31e7,58.933
MnII_2305,MnII,2305.7142,0.00113,2.818e8,54.938
CoI_2309,CoI,2309.7199,0.0447,3.02e8,58.933
NiI_2311,NiI,2311.6724,0.385,6.918e8,57.935
ScI_2312,ScI,2312.0019,0.00487,4.365e7,44.956
VI_2312,VI,2312.1655,0.00041,5.495e7,49.947
ScI_2316,ScI,2316.3993,0.0199,4.169e7,44.956
NiI_2320,NiI,2320.7468,0.685,7.762e8,57.935
VI_2322,VI,2322.7967,0.00108,2.951e7,49.947
CoI_2326,CoI,2326.229,0.000104,6.31e6,58.933
VI_2326,VI,2326.5721,0.00477,2.818e7,49.947
ScI_2328,ScI,2328.8966,0.0056,3.548e7,44.956
FeI_2330,FeI,2330.355,0.000174,6.026e7,55.847
CoI_2332,CoI,2332.8123,0.000662,1.738e6,58.933
YI_2333,YI,2333.2949,0.0419,1.175e8,88.906
ScI_2335,ScI,2335.3851,0.00689,6.166e7,44.956
CoI_2335,CoI,2335.8291,0.000352,6.607e8,58.933
ScI_2337,ScI,2337.5185,0.00301,5.888e7,44.956
NiI_2338,NiI,2338.2048,0.0368,3.715e7,57.935
LiI_2340,LiI,2340.8712,0.000129,162200.0,6.967
FeII_2344,FeII,2344.2128,0.114,3.09e8,55.847
NiI_2346,NiI,2346.2616,0.146,3.981e8,57.935
NiI_2348,NiI,2348.2331,0.0146,3.467e7,57.935
LiI_2349,LiI,2349.1221,0.000232,275400.0,6.967
LiI_2349.1,LiI,2349.1221,0.000116,275400.0,6.967
BeI_2349,BeI,2349.3291,1.7,6.918e8,9.012
FeI_2351,FeI,2351.1299,0.000104,1.862e7,55.847
LiI_2359,LiI,2359.6504,0.000287,323600.0,6.967
LiI_2359.7,LiI,2359.6504,0.000144,323600.0,6.967
CrI_2365,CrI,2365.4663,0.00569,2.291e7,49.946
TiI_2365,TiI,2365.7594,0.000733,7.413e7,45.953
CoI_2365,CoI,2365.7872,0.0107,6.761e8,58.933
CrI_2366,CrI,2366.642,0.00462,2.291e7,49.946
CrI_2367,CrI,2367.5392,0.00794,2.239e7,49.946
FeII_2367,FeII,2367.5905,8.18e-5,3.07e8,55.847
TiI_2369,TiI,2369.2892,0.000804,1.23e8,45.953
TiI_2370,TiI,2370.0081,0.00428,8.511e7,45.953
TiI_2372,TiI,2372.6848,0.00246,1.072e8,45.953
LiI_2374,LiI,2374.2667,0.000302,371500.0,6.967
LiI_2374.3,LiI,2374.2667,0.000151,371500.0,6.967
FeII_2374,FeII,2374.46,0.0313,3.467e8,55.847
YI_2374,YI,2374.548,0.00138,3.548e7,88.906
VI_2375,VI,2375.8246,0.000157,3.311e7,49.947
MnI_2377,MnI,2377.9095,0.000132,8.318e7,54.938
VI_2380,VI,2380.9943,0.000352,1.413e8,49.947
FeII_2382,FeII,2382.7638,0.32,3.548e8,55.847
MnI_2384,MnI,2384.7761,0.00021,8.318e7,54.938
VI_2385,VI,2385.0141,0.00208,1.318e8,49.947
CoI_2385,CoI,2385.5899,0.0166,4.467e8,58.933
LiI_2395,LiI,2395.1164,0.000442,537000.0,6.967
LiI_2395.1,LiI,2395.1164,0.000221,537000.0,6.967
CaI_2399,CaI,2399.2893,0.0851,7.079e7,39.963
VI_2400,VI,2400.6843,0.028,1.585e8,49.947
CoI_2407,CoI,2407.9875,0.38,6.918e8,58.933
TiI_2412,TiI,2412.1006,0.00321,1.072e8,45.953
VI_2416,VI,2416.0612,0.0119,1.23e8,49.947
TiI_2419,TiI,2419.0965,0.0103,7.586e7,45.953
CoI_2425,CoI,2425.6708,0.282,4.786e8,58.933
LiI_2426,LiI,2426.1495,0.000628,741300.0,6.967
LiI_2426.1,LiI,2426.1495,0.000315,724400.0,6.967
TiI_2428,TiI,2428.9528,0.00364,1.514e8,45.953
ScI_2429,ScI,2429.3945,0.00274,7.943e7,44.956
ScI_2429.9,ScI,2429.9317,0.025,7.943e7,44.956
CoI_2436,CoI,2436.5671,0.00135,2.63e6,58.933
SiI_2439,SiI,2439.5073,0.00212,3.981e8,28.085
CuI_2442,CuI,2442.3764,0.0019,2.188e6,62.93
FeI_2448,FeI,2448.4507,0.00231,6.026e8,55.847
YI_2458,YI,2458.6708,0.00158,5.012e7,88.906
TiI_2458,TiI,2458.7841,0.000678,1.318e8,45.953
YI_2460,YI,2460.8401,0.00927,5.129e7,88.906
FeI_2463,FeI,2463.392,0.0532,6.026e8,55.847
ScI_2463,ScI,2463.414,0.0019,3.311e7,44.956
TiI_2465,TiI,2465.7256,0.00135,1.288e8,45.953
ScI_2469,ScI,2469.1535,0.00223,3.236e7,44.956
VI_2472,VI,2472.9606,0.00019,4.266e7,49.947
TiII_2473,TiII,2473.6881,0.0019,2.239e8,45.953
FeI_2473,FeI,2473.9041,0.00252,7.413e6,55.847
LiI_2475,LiI,2475.7799,0.000966,1.047e6,6.967
LiI_2475.8,LiI,2475.7799,0.000484,1.047e6,6.967
NiI_2477,NiI,2477.6241,0.00164,8.511e6,57.935
ScI_2478,ScI,2478.2349,0.000363,3.09e7,44.956
ScI_2478.5,ScI,2478.4781,0.00329,3.162e7,44.956
TiII_2479,TiII,2479.5243,0.0025,2.239e8,45.953
VI_2479,VI,2479.8063,0.00218,1.047e8,49.947
FeI_2484,FeI,2484.0206,0.543,6.026e8,55.847
FeI_2487,FeI,2487.1232,0.00222,2.455e6,55.847
VI_2490,VI,2490.4423,0.00117,9.772e7,49.947
VI_2492,VI,2492.5709,0.00164,7.943e7,49.947
CuI_2492,CuI,2492.8959,0.00558,3.162e6,62.93
ScI_2493,ScI,2493.505,0.000178,3.631e7,44.956
BI_2497,BI,2497.5329,0.0893,2.884e8,10.813
VI_2500,VI,2500.0031,0.000191,1.738e8,49.947
FeI_2501,FeI,2501.8856,0.0493,4.467e8,55.847
VI_2502,VI,2502.3679,0.0173,1.698e8,49.947
VI_2504,VI,2504.0581,0.0107,1.82e8,49.947
VI_2507,VI,2507.2371,0.0038,8.128e7,49.947
VI_2507.7,VI,2507.6618,0.0244,2.042e8,49.947
VI_2509,VI,2509.5778,0.00149,1.82e8,49.947
SiI_2515,SiI,2515.0725,0.21,3.311e8,28.085
TiI_2517,TiI,2517.9127,0.000137,1.514e8,45.953
TiI_2519,TiI,2519.7826,0.0039,1.479e8,45.953
TiI_2521,TiI,2521.2999,0.023,1.479e8,45.953
CoI_2522,CoI,2522.1238,0.229,4.169e8,58.933
FeI_2523,FeI,2523.6081,0.203,4.467e8,55.847
YI_2536,YI,2536.9006,0.000126,2.57e7,88.906
ScII_2541,ScII,2541.5852,0.0042,2.951e8,44.956
VI_2544,VI,2544.493,0.0111,1.66e8,49.947
YI_2545,YI,2545.2902,0.000128,2.884e7,88.906
YI_2546,YI,2546.3803,0.000166,2.512e7,88.906
VI_2546,VI,2546.6885,0.0173,1.66e8,49.947
VI_2547,VI,2547.8408,0.00024,1.778e8,49.947
YI_2548,YI,2548.3242,0.00269,3.631e7,88.906
VI_2548,VI,2548.6018,0.000137,1.738e8,49.947
ScII_2556,ScII,2556.5617,0.0676,2.951e8,44.956
LiI_2563,LiI,2563.0702,0.00157,1.585e6,6.967
LiI_2563.1,LiI,2563.0702,0.000787,1.585e6,6.967
ScII_2563,ScII,2563.9584,0.0887,2.951e8,44.956
CoI_2574,CoI,2574.3092,0.00056,1.072e6,58.933
MnII_2576,MnII,2576.8745,0.361,3.236e8,54.938
YI_2577,YI,2577.448,0.00011,2.344e7,88.906
TiI_2579,TiI,2579.657,0.000283,2.042e8,45.953
TiI_2583,TiI,2583.9924,0.00174,2.042e8,45.953
FeII_2586,FeII,2586.6493,0.0692,2.951e8,55.847
TiI_2587,TiI,2587.0499,0.000743,2.089e8,45.953
TiI_2594,TiI,2594.4163,0.00834,1.995e8,45.953
MnII_2594,MnII,2594.4956,0.278,3.162e8,54.938
YI_2599,YI,2599.2058,0.000125,1.479e7,88.906
FeII_2600,FeII,2600.1721,0.239,3.02e8,55.847
TiI_2600,TiI,2600.6917,0.0693,1.995e8,45.953
MnII_2606,MnII,2606.4585,0.196,3.09e8,54.938
FeI_2619,FeI,2619.491,0.000635,1.622e8,55.847
TiI_2620,TiI,2620.5821,0.00118,3.09e8,45.953
TiI_2633,TiI,2633.2012,0.0258,3.467e8,45.953
VI_2634,VI,2634.3728,0.000824,2.344e8,49.947
TiI_2641,TiI,2641.8822,0.121,3.467e8,45.953
VI_2643,VI,2643.0509,0.00847,2.399e8,49.947
VI_2648,VI,2648.4939,0.0262,2.399e8,49.947
VI_2648.8,VI,2648.8277,0.000109,6.607e7,49.947
TiI_2649,TiI,2649.4304,0.000796,1.0e8,45.953
TiI_2655,TiI,2655.7117,0.000128,9.55e7,45.953
TiI_2657,TiI,2657.9788,0.0048,1.413e8,45.953
TiI_2662,TiI,2662.7572,0.0126,1.288e8,45.953
VI_2666,VI,2666.7506,0.00102,7.079e7,49.947
VI_2677,VI,2677.9096,0.000284,5.495e7,49.947
TiI_2679,TiI,2679.1404,0.000158,1.288e8,45.953
YI_2682,YI,2682.124,0.00175,6.761e7,88.906
YI_2682.5,YI,2682.4621,0.00778,7.413e7,88.906
VII_2683,VII,2683.8773,0.107,3.236e8,49.947
YI_2685,YI,2685.0118,0.00179,1.072e8,88.906
TiI_2690,TiI,2690.1256,0.000498,1.259e8,45.953
FeI_2690,FeI,2690.8668,0.000214,1.202e8,55.847
ScI_2693,ScI,2693.5733,0.00875,1.259e8,44.956
YI_2695,YI,2695.0018,0.0156,1.0e8,88.906
ScI_2696,ScI,2696.434,0.000653,1.288e8,44.956
ScI_2699,ScI,2699.8158,0.00393,9.772e7,44.956
YI_2699,YI,2699.8364,0.00207,1.202e8,88.906
VII_2706,VII,2706.0168,0.0148,2.089e8,49.947
ScI_2707,ScI,2707.5387,1.84,1.0e8,44.956
ScI_2712,ScI,2712.9533,0.000175,8.913e7,44.956
ScI_2717,ScI,2717.8603,0.00396,8.913e7,44.956
FeI_2719,FeI,2719.8328,0.122,1.778e8,55.847
ScI_2720,ScI,2720.0374,0.000106,8.318e7,44.956
VI_2720,VI,2720.0907,0.00011,3.802e7,49.947
YI_2721,YI,2721.0427,0.00578,1.349e8,88.906
CaI_2722,CaI,2722.4504,0.00191,1.738e7,39.963
ScI_2727,ScI,2727.2911,0.00203,7.586e7,44.956
VII_2740,VII,2740.5246,0.102,1.995e8,49.947
VI_2741,VI,2741.3979,0.000697,4.169e7,49.947
LiI_2741,LiI,2741.996,0.00261,2.455e6,6.967
LiI_2742.0,LiI,2741.996,0.00131,2.455e6,6.967
YI_2743,YI,2743.3113,0.0509,1.288e8,88.906
VI_2746,VI,2746.0155,0.000117,2.63e7,49.947
YI_2767,YI,2767.3568,0.0121,1.202e8,88.906
YI_2773,YI,2773.0916,0.00106,1.096e8,88.906
YI_2792,YI,2792.0162,0.00713,1.072e8,88.906
MnI_2795,MnI,2795.639,0.565,4.074e8,54.938
FeI_2795,FeI,2795.8288,0.000109,9.772e7,55.847
MgII_2796,MgII,2796.3522,0.629,2.692e8,24.305
MnI_2799,MnI,2799.0911,0.419,4.169e8,54.938
MnI_2801,MnI,2801.9047,0.29,4.169e8,54.938
MgII_2803,MgII,2803.531,0.308,2.692e8,24.305
NiI_2805,NiI,2805.9054,0.000306,7.079e7,57.935
FeI_2808,FeI,2808.071,0.000153,1.148e8,55.847
FeI_2826,FeI,2826.5189,0.000129,1.047e8,55.847
FeI_2836,FeI,2836.2901,0.000727,1.122e8,55.847
VI_2838,VI,2838.8937,0.000755,4.467e7,49.947
VI_2849,VI,2849.6104,0.0122,7.244e7,49.947
MgI_2852,MgI,2852.9642,1.8,5.129e8,24.305
VI_2856,VI,2856.0609,0.0308,8.913e7,49.947
FeI_2875,FeI,2875.0155,0.00141,1.023e8,55.847
VI_2888,VI,2888.5373,0.000476,2.455e8,49.947
VI_2895,VI,2895.4204,0.00534,2.138e8,49.947
VI_2899,VI,2899.6613,0.000705,1.23e7,49.947
VI_2900,VI,2900.4485,0.0213,1.995e8,49.947
VI_2904,VI,2904.5474,0.00791,1.202e7,49.947
FeI_2913,FeI,2913.0101,0.00258,1.445e8,55.847
YI_2919,YI,2919.9024,0.0417,1.585e8,88.906
VI_2926,VI,2926.7245,0.000567,1.072e7,49.947
CoI_2929,CoI,2929.67,0.000257,1.096e8,58.933
TiI_2934,TiI,2934.3924,0.0187,2.291e8,45.953
VI_2935,VI,2935.5014,0.00102,1.82e7,49.947
FeI_2937,FeI,2937.7621,0.0181,1.445e8,55.847
VI_2938,VI,2938.5784,0.00608,1.66e7,49.947
TiI_2942,TiI,2942.8511,0.145,2.291e8,45.953
VI_2943,VI,2943.2482,0.0181,1.318e7,49.947
VI_2944,VI,2944.0486,0.00363,1.778e7,49.947
YI_2949,YI,2949.2647,0.0516,1.622e8,88.906
ScI_2966,ScI,2966.7372,0.0148,1.549e8,44.956
FeI_2967,FeI,2967.7644,0.0438,1.445e8,55.847
TiI_2969,TiI,2969.0994,0.00148,3.467e7,45.953
TiI_2971,TiI,2971.25,0.00935,3.548e7,45.953
ScI_2974,ScI,2974.8732,0.0729,1.549e8,44.956
YI_2975,YI,2975.4548,0.112,1.778e8,88.906
VI_2982,VI,2982.6102,0.000129,4.898e6,49.947
FeI_2984,FeI,2984.4401,0.029,1.995e8,55.847
NiI_2985,NiI,2985.0014,0.00351,1.413e8,57.935
CoI_2988,CoI,2988.0339,0.00525,1.259e8,58.933
CoI_2990,CoI,2990.4609,0.00513,1.38e8,58.933
YI_2997,YI,2997.8171,0.00758,1.698e8,88.906
YI_3006,YI,3006.1349,0.00566,1.738e8,88.906
YI_3010,YI,3010.6476,0.000209,1.698e8,88.906
CoI_3014,CoI,3014.4713,0.00155,1.38e8,58.933
ScI_3016,ScI,3016.2465,0.16,1.698e8,44.956
NiI_3020,NiI,3020.0227,0.0052,1.202e8,57.935
FeI_3021,FeI,3021.5186,0.104,1.95e8,55.847
NiI_3032,NiI,3032.7498,0.00172,6.457e7,57.935
TiI_3043,TiI,3043.4246,0.00364,1.622e8,45.953
VI_3044,VI,3044.4346,0.0466,3.311e8,49.947
CoI_3044,CoI,3044.8893,0.0257,1.698e8,58.933
VI_3051,VI,3051.7662,0.0308,1.318e7,49.947
VI_3054,VI,3054.5423,0.19,3.311e8,49.947
TiII_3058,TiII,3058.2815,0.0037,2.57e8,45.953
ScI_3058,ScI,3058.3995,0.000469,1.23e8,44.956
VI_3061,VI,3061.8119,0.000828,2.455e7,49.947
ScI_3061,ScI,3061.915,0.00122,1.23e8,44.956
TiII_3067,TiII,3067.2375,0.051,2.57e8,45.953
TiII_3073,TiII,3073.863,0.128,2.63e8,45.953
CoI_3080,CoI,3080.2699,0.000555,8.511e7,58.933
VI_3081,VI,3081.0393,0.000867,2.399e7,49.947
CoI_3083,CoI,3083.5137,0.00457,1.514e8,58.933
KI_3102,KI,3102.6888,0.000132,955000.0,38.964
YII_3112,YII,3112.9321,0.00575,4.365e8,88.906
CoI_3122,CoI,3122.3226,0.00257,7.943e7,58.933
TiII_3122,TiII,3122.5029,0.00109,1.479e8,45.953
CoI_3137,CoI,3137.637,0.000269,5.129e7,58.933
TiII_3148,TiII,3148.9478,0.0151,1.445e8,45.953
YI_3156,YI,3156.5616,0.000689,1.175e8,88.906
YI_3173,YI,3173.7516,0.00135,1.175e8,88.906
VI_3184,VI,3184.9343,0.573,3.388e8,49.947
TiI_3187,TiI,3187.3723,0.205,1.38e8,45.953
FeI_3192,FeI,3192.5817,0.000282,5.623e6,55.847
FeI_3194,FeI,3194.1488,0.000677,1.349e6,55.847
VI_3202,VI,3202.1488,0.00411,8.913e6,49.947
TiII_3204,TiII,3204.3569,0.00378,1.413e8,45.953
